rank	slug	city	state	voice	art_kit	briefing
194	columbia_sc	Columbia	SC	Daniel	Coastal Port	Radio briefing: Columbia, SC is stop 194 on the national route. Secure the Columbia Rescue Arch in the Coastal Port, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.
195	midland_tx	Midland	TX	Daniel	Desert Solar Grid	Radio briefing: Midland, TX is stop 195 on the national route. Secure the Midland Data Beacon in the Desert Solar Grid, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.
196	miramar_fl	Miramar	FL	Daniel	Coastal Port	Radio briefing: Miramar, FL is stop 196 on the national route. Secure the Miramar Command Obelisk in the Coastal Port, finish the stateful traversal through linked rescue nodes lesson, then extract the survivor team. New city feature: Evacuation chain 4: node markers show current, next, and stop sentinel movement.
197	palm_bay_fl	Palm Bay	FL	Daniel	Coastal Port	Radio briefing: Palm Bay, FL is stop 197 on the national route. Secure the Palm Bay Relay Bridge in the Coastal Port, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 1: paired light posts teach left/right character comparisons.
198	jackson_ms	Jackson	MS	Daniel	River Lockworks	Radio briefing: Jackson, MS is stop 198 on the national route. Secure the Jackson Power Crown in the River Lockworks, finish the halving a sorted search space with bounds lesson, then extract the survivor team. New city feature: Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.
199	coral_springs_fl	Coral Springs	FL	Daniel	Coastal Port	Radio briefing: Coral Springs, FL is stop 199 on the national route. Secure the Coral Springs Signal Spire in the Coastal Port, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 3: numbered pylons emphasize checking 15 before 3 or 5.
200	victorville_ca	Victorville	CA	Samantha	Coastal Port	Radio briefing: Victorville, CA is stop 200 on the national route. Secure the Victorville Rescue Arch in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 4: even-number lanes lead to rescue while odd lanes become decoys.
201	elizabeth_nj	Elizabeth	NJ	Victoria	Coastal Port	Radio briefing: Elizabeth, NJ is stop 201 on the national route. Secure the Elizabeth Data Beacon in the Coastal Port, finish the stateful traversal through linked rescue nodes lesson, then extract the survivor team. New city feature: Evacuation chain 1: node markers show current, next, and stop sentinel movement.
202	fullerton_ca	Fullerton	CA	Samantha	Coastal Port	Radio briefing: Fullerton, CA is stop 202 on the national route. Secure the Fullerton Command Obelisk in the Coastal Port, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 2: paired light posts teach left/right character comparisons.
203	meridian_id	Meridian	ID	Samantha	Monsoon Port	Radio briefing: Meridian, ID is stop 203 on the national route. Secure the Meridian Relay Bridge in the Monsoon Port, finish the halving a sorted search space with bounds lesson, then extract the survivor team. New city feature: Sorted-cache vault 3: shrinking light bands show low, mid, and high bounds.
204	torrance_ca	Torrance	CA	Samantha	Coastal Port	Radio briefing: Torrance, CA is stop 204 on the national route. Secure the Torrance Power Crown in the Coastal Port, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.
205	stamford_ct	Stamford	CT	Victoria	Coastal Port	Radio briefing: Stamford, CT is stop 205 on the national route. Secure the Stamford Signal Spire in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.
206	west_valley_city_ut	West Valley City	UT	Samantha	Mountain Relay	Radio briefing: West Valley City, UT is stop 206 on the national route. Secure the West Valley City Rescue Arch in the Mountain Relay, finish the stateful traversal through linked rescue nodes lesson, then extract the survivor team. New city feature: Evacuation chain 2: node markers show current, next, and stop sentinel movement.
207	orange_ca	Orange	CA	Samantha	Coastal Port	Radio briefing: Orange, CA is stop 207 on the national route. Secure the Orange Data Beacon in the Coastal Port, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 3: paired light posts teach left/right character comparisons.
208	cedar_rapids_ia	Cedar Rapids	IA	Alex	River Lockworks	Radio briefing: Cedar Rapids, IA is stop 208 on the national route. Secure the Cedar Rapids Command Obelisk in the River Lockworks, finish the halving a sorted search space with bounds lesson, then extract the survivor team. New city feature: Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.
209	warren_mi	Warren	MI	Alex	Great Lakes Industrial	Radio briefing: Warren, MI is stop 209 on the national route. Secure the Warren Relay Bridge in the Great Lakes Industrial, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 1: numbered pylons emphasize checking 15 before 3 or 5.
210	hampton_va	Hampton	VA	Daniel	Coastal Port	Radio briefing: Hampton, VA is stop 210 on the national route. Secure the Hampton Power Crown in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 2: even-number lanes lead to rescue while odd lanes become decoys.
211	new_haven_ct	New Haven	CT	Victoria	Coastal Port	Radio briefing: New Haven, CT is stop 211 on the national route. Secure the New Haven Signal Spire in the Coastal Port, finish the stateful traversal through linked rescue nodes lesson, then extract the survivor team. New city feature: Evacuation chain 3: node markers show current, next, and stop sentinel movement.
212	pasadena_ca	Pasadena	CA	Samantha	Coastal Port	Radio briefing: Pasadena, CA is stop 212 on the national route. Secure the Pasadena Rescue Arch in the Coastal Port, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 4: paired light posts teach left/right character comparisons.
213	kent_wa	Kent	WA	Samantha	Coastal Port	Radio briefing: Kent, WA is stop 213 on the national route. Secure the Kent Data Beacon in the Coastal Port, finish the halving a sorted search space with bounds lesson, then extract the survivor team. New city feature: Sorted-cache vault 1: shrinking light bands show low, mid, and high bounds.
214	dayton_oh	Dayton	OH	Alex	Great Lakes Industrial	Radio briefing: Dayton, OH is stop 214 on the national route. Secure the Dayton Command Obelisk in the Great Lakes Industrial, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.
215	fargo_nd	Fargo	ND	Alex	Rail Yard	Radio briefing: Fargo, ND is stop 215 on the national route. Secure the Fargo Relay Bridge in the Rail Yard, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.
216	lewisville_tx	Lewisville	TX	Daniel	Desert Solar Grid	Radio briefing: Lewisville, TX is stop 216 on the national route. Secure the Lewisville Power Crown in the Desert Solar Grid, finish the stateful traversal through linked rescue nodes lesson, then extract the survivor team. New city feature: Evacuation chain 4: node markers show current, next, and stop sentinel movement.
217	carrollton_tx	Carrollton	TX	Daniel	Desert Solar Grid	Radio briefing: Carrollton, TX is stop 217 on the national route. Secure the Carrollton Signal Spire in the Desert Solar Grid, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 1: paired light posts teach left/right character comparisons.
218	round_rock_tx	Round Rock	TX	Daniel	Desert Solar Grid	Radio briefing: Round Rock, TX is stop 218 on the national route. Secure the Round Rock Rescue Arch in the Desert Solar Grid, finish the halving a sorted search space with bounds lesson, then extract the survivor team. New city feature: Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.
219	sterling_heights_mi	Sterling Heights	MI	Alex	Great Lakes Industrial	Radio briefing: Sterling Heights, MI is stop 219 on the national route. Secure the Sterling Heights Data Beacon in the Great Lakes Industrial, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 3: numbered pylons emphasize checking 15 before 3 or 5.
220	santa_clara_ca	Santa Clara	CA	Samantha	Coastal Port	Radio briefing: Santa Clara, CA is stop 220 on the national route. Secure the Santa Clara Command Obelisk in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 4: even-number lanes lead to rescue while odd lanes become decoys.
221	norman_ok	Norman	OK	Daniel	Metro Core	Radio briefing: Norman, OK is stop 221 on the national route. Secure the Norman Relay Bridge in the Metro Core, finish the stateful traversal through linked rescue nodes lesson, then extract the survivor team. New city feature: Evacuation chain 1: node markers show current, next, and stop sentinel movement.
222	columbia_mo	Columbia	MO	Alex	River Lockworks	Radio briefing: Columbia, MO is stop 222 on the national route. Secure the Columbia Power Crown in the River Lockworks, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 2: paired light posts teach left/right character comparisons.
223	abilene_tx	Abilene	TX	Daniel	Desert Solar Grid	Radio briefing: Abilene, TX is stop 223 on the national route. Secure the Abilene Signal Spire in the Desert Solar Grid, finish the halving a sorted search space with bounds lesson, then extract the survivor team. New city feature: Sorted-cache vault 3: shrinking light bands show low, mid, and high bounds.
224	pearland_tx	Pearland	TX	Daniel	Desert Solar Grid	Radio briefing: Pearland, TX is stop 224 on the national route. Secure the Pearland Rescue Arch in the Desert Solar Grid, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.
225	athens_clarke_county_ga	Athens-Clarke County	GA	Daniel	Coastal Port	Radio briefing: Athens-Clarke County, GA is stop 225 on the national route. Secure the Athens-Clarke County Data Beacon in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.
226	college_station_tx	College Station	TX	Daniel	Desert Solar Grid	Radio briefing: College Station, TX is stop 226 on the national route. Secure the College Station Command Obelisk in the Desert Solar Grid, finish the stateful traversal through linked rescue nodes lesson, then extract the survivor team. New city feature: Evacuation chain 2: node markers show current, next, and stop sentinel movement.
227	clovis_ca	Clovis	CA	Samantha	Coastal Port	Radio briefing: Clovis, CA is stop 227 on the national route. Secure the Clovis Relay Bridge in the Coastal Port, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 3: paired light posts teach left/right character comparisons.
228	west_palm_beach_fl	West Palm Beach	FL	Daniel	Coastal Port	Radio briefing: West Palm Beach, FL is stop 228 on the national route. Secure the West Palm Beach Power Crown in the Coastal Port, finish the halving a sorted search space with bounds lesson, then extract the survivor team. New city feature: Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.
229	allentown_pa	Allentown	PA	Victoria	Latin Metro	Radio briefing: Allentown, PA is stop 229 on the national route. Secure the Allentown Signal Spire in the Latin Metro, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 1: numbered pylons emphasize checking 15 before 3 or 5.
230	north_charleston_sc	North Charleston	SC	Daniel	Coastal Port	Radio briefing: North Charleston, SC is stop 230 on the national route. Secure the North Charleston Rescue Arch in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 2: even-number lanes lead to rescue while odd lanes become decoys.
231	simi_valley_ca	Simi Valley	CA	Samantha	Coastal Port	Radio briefing: Simi Valley, CA is stop 231 on the national route. Secure the Simi Valley Data Beacon in the Coastal Port, finish the stateful traversal through linked rescue nodes lesson, then extract the survivor team. New city feature: Evacuation chain 3: node markers show current, next, and stop sentinel movement.
232	topeka_ks	Topeka	KS	Alex	Rail Yard	Radio briefing: Topeka, KS is stop 232 on the national route. Secure the Topeka Command Obelisk in the Rail Yard, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 4: paired light posts teach left/right character comparisons.
233	wilmington_nc	Wilmington	NC	Daniel	Coastal Port	Radio briefing: Wilmington, NC is stop 233 on the national route. Secure the Wilmington Relay Bridge in the Coastal Port, finish the halving a sorted search space with bounds lesson, then extract the survivor team. New city feature: Sorted-cache vault 1: shrinking light bands show low, mid, and high bounds.
234	lakeland_fl	Lakeland	FL	Daniel	Coastal Port	Radio briefing: Lakeland, FL is stop 234 on the national route. Secure the Lakeland Power Crown in the Coastal Port, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.
235	thousand_oaks_ca	Thousand Oaks	CA	Samantha	Coastal Port	Radio briefing: Thousand Oaks, CA is stop 235 on the national route. Secure the Thousand Oaks Signal Spire in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.
236	concord_ca	Concord	CA	Samantha	Coastal Port	Radio briefing: Concord, CA is stop 236 on the national route. Secure the Concord Rescue Arch in the Coastal Port, finish the stateful traversal through linked rescue nodes lesson, then extract the survivor team. New city feature: Evacuation chain 4: node markers show current, next, and stop sentinel movement.
237	rochester_mn	Rochester	MN	Alex	Great Lakes Industrial	Radio briefing: Rochester, MN is stop 237 on the national route. Secure the Rochester Data Beacon in the Great Lakes Industrial, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 1: paired light posts teach left/right character comparisons.
238	vallejo_ca	Vallejo	CA	Samantha	Coastal Port	Radio briefing: Vallejo, CA is stop 238 on the national route. Secure the Vallejo Command Obelisk in the Coastal Port, finish the halving a sorted search space with bounds lesson, then extract the survivor team. New city feature: Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.
239	ann_arbor_mi	Ann Arbor	MI	Alex	Great Lakes Industrial	Radio briefing: Ann Arbor, MI is stop 239 on the national route. Secure the Ann Arbor Relay Bridge in the Great Lakes Industrial, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 3: numbered pylons emphasize checking 15 before 3 or 5.
240	broken_arrow_ok	Broken Arrow	OK	Daniel	Metro Core	Radio briefing: Broken Arrow, OK is stop 240 on the national route. Secure the Broken Arrow Power Crown in the Metro Core, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 4: even-number lanes lead to rescue while odd lanes become decoys.
241	fairfield_ca	Fairfield	CA	Samantha	Coastal Port	Radio briefing: Fairfield, CA is stop 241 on the national route. Secure the Fairfield Signal Spire in the Coastal Port, finish the stateful traversal through linked rescue nodes lesson, then extract the survivor team. New city feature: Evacuation chain 1: node markers show current, next, and stop sentinel movement.
242	lafayette_la	Lafayette	LA	Daniel	Coastal Port	Radio briefing: Lafayette, LA is stop 242 on the national route. Secure the Lafayette Rescue Arch in the Coastal Port, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 2: paired light posts teach left/right character comparisons.
243	hartford_ct	Hartford	CT	Victoria	Coastal Port	Radio briefing: Hartford, CT is stop 243 on the national route. Secure the Hartford Data Beacon in the Coastal Port, finish the halving a sorted search space with bounds lesson, then extract the survivor team. New city feature: Sorted-cache vault 3: shrinking light bands show low, mid, and high bounds.
244	arvada_co	Arvada	CO	Samantha	Latin Metro	Radio briefing: Arvada, CO is stop 244 on the national route. Secure the Arvada Command Obelisk in the Latin Metro, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.
245	berkeley_ca	Berkeley	CA	Samantha	Coastal Port	Radio briefing: Berkeley, CA is stop 245 on the national route. Secure the Berkeley Relay Bridge in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.
246	independence_mo	Independence	MO	Alex	River Lockworks	Radio briefing: Independence, MO is stop 246 on the national route. Secure the Independence Power Crown in the River Lockworks, finish the stateful traversal through linked rescue nodes lesson, then extract the survivor team. New city feature: Evacuation chain 2: node markers show current, next, and stop sentinel movement.
247	billings_mt	Billings	MT	Samantha	Mountain Relay	Radio briefing: Billings, MT is stop 247 on the national route. Secure the Billings Signal Spire in the Mountain Relay, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 3: paired light posts teach left/right character comparisons.
248	cambridge_ma	Cambridge	MA	Victoria	African Urban Relay	Radio briefing: Cambridge, MA is stop 248 on the national route. Secure the Cambridge Rescue Arch in the African Urban Relay, finish the halving a sorted search space with bounds lesson, then extract the survivor team. New city feature: Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.
249	lowell_ma	Lowell	MA	Victoria	African Urban Relay	Radio briefing: Lowell, MA is stop 249 on the national route. Secure the Lowell Data Beacon in the African Urban Relay, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 1: numbered pylons emphasize checking 15 before 3 or 5.
250	odessa_tx	Odessa	TX	Daniel	Desert Solar Grid	Radio briefing: Odessa, TX is stop 250 on the national route. Secure the Odessa Command Obelisk in the Desert Solar Grid, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 2: even-number lanes lead to rescue while odd lanes become decoys.
251	high_point_nc	High Point	NC	Daniel	Coastal Port	Radio briefing: High Point, NC is stop 251 on the national route. Secure the High Point Relay Bridge in the Coastal Port, finish the stateful traversal through linked rescue nodes lesson, then extract the survivor team. New city feature: Evacuation chain 3: node markers show current, next, and stop sentinel movement.
252	league_city_tx	League City	TX	Daniel	Desert Solar Grid	Radio briefing: League City, TX is stop 252 on the national route. Secure the League City Power Crown in the Desert Solar Grid, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 4: paired light posts teach left/right character comparisons.
253	antioch_ca	Antioch	CA	Samantha	Coastal Port	Radio briefing: Antioch, CA is stop 253 on the national route. Secure the Antioch Signal Spire in the Coastal Port, finish the halving a sorted search space with bounds lesson, then extract the survivor team. New city feature: Sorted-cache vault 1: shrinking light bands show low, mid, and high bounds.
254	richardson_tx	Richardson	TX	Daniel	Desert Solar Grid	Radio briefing: Richardson, TX is stop 254 on the national route. Secure the Richardson Rescue Arch in the Desert Solar Grid, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.
255	goodyear_az	Goodyear	AZ	Samantha	Desert Solar Grid	Radio briefing: Goodyear, AZ is stop 255 on the national route. Secure the Goodyear Data Beacon in the Desert Solar Grid, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.
256	pompano_beach_fl	Pompano Beach	FL	Daniel	Coastal Port	Radio briefing: Pompano Beach, FL is stop 256 on the national route. Secure the Pompano Beach Command Obelisk in the Coastal Port, finish the stateful traversal through linked rescue nodes lesson, then extract the survivor team. New city feature: Evacuation chain 4: node markers show current, next, and stop sentinel movement.
257	nampa_id	Nampa	ID	Samantha	Monsoon Port	Radio briefing: Nampa, ID is stop 257 on the national route. Secure the Nampa Relay Bridge in the Monsoon Port, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 1: paired light posts teach left/right character comparisons.
258	menifee_ca	Menifee	CA	Samantha	Coastal Port	Radio briefing: Menifee, CA is stop 258 on the national route. Secure the Menifee Power Crown in the Coastal Port, finish the halving a sorted search space with bounds lesson, then extract the survivor team. New city feature: Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.
259	las_cruces_nm	Las Cruces	NM	Samantha	Desert Solar Grid	Radio briefing: Las Cruces, NM is stop 259 on the national route. Secure the Las Cruces Signal Spire in the Desert Solar Grid, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 3: numbered pylons emphasize checking 15 before 3 or 5.
260	clearwater_fl	Clearwater	FL	Daniel	Coastal Port	Radio briefing: Clearwater, FL is stop 260 on the national route. Secure the Clearwater Rescue Arch in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 4: even-number lanes lead to rescue while odd lanes become decoys.
261	west_jordan_ut	West Jordan	UT	Samantha	Mountain Relay	Radio briefing: West Jordan, UT is stop 261 on the national route. Secure the West Jordan Data Beacon in the Mountain Relay, finish the stateful traversal through linked rescue nodes lesson, then extract the survivor team. New city feature: Evacuation chain 1: node markers show current, next, and stop sentinel movement.
262	new_braunfels_tx	New Braunfels	TX	Daniel	Desert Solar Grid	Radio briefing: New Braunfels, TX is stop 262 on the national route. Secure the New Braunfels Command Obelisk in the Desert Solar Grid, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 2: paired light posts teach left/right character comparisons.
263	manchester_nh	Manchester	NH	Victoria	Metro Core	Radio briefing: Manchester, NH is stop 263 on the national route. Secure the Manchester Relay Bridge in the Metro Core, finish the halving a sorted search space with bounds lesson, then extract the survivor team. New city feature: Sorted-cache vault 3: shrinking light bands show low, mid, and high bounds.
264	miami_gardens_fl	Miami Gardens	FL	Daniel	Coastal Port	Radio briefing: Miami Gardens, FL is stop 264 on the national route. Secure the Miami Gardens Power Crown in the Coastal Port, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.
265	waterbury_ct	Waterbury	CT	Victoria	Coastal Port	Radio briefing: Waterbury, CT is stop 265 on the national route. Secure the Waterbury Signal Spire in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.
266	provo_ut	Provo	UT	Samantha	Mountain Relay	Radio briefing: Provo, UT is stop 266 on the national route. Secure the Provo Rescue Arch in the Mountain Relay, finish the stateful traversal through linked rescue nodes lesson, then extract the survivor team. New city feature: Evacuation chain 2: node markers show current, next, and stop sentinel movement.
267	evansville_in	Evansville	IN	Alex	Monsoon Megacity	Radio briefing: Evansville, IN is stop 267 on the national route. Secure the Evansville Data Beacon in the Monsoon Megacity, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 3: paired light posts teach left/right character comparisons.
268	richmond_ca	Richmond	CA	Samantha	Coastal Port	Radio briefing: Richmond, CA is stop 268 on the national route. Secure the Richmond Command Obelisk in the Coastal Port, finish the halving a sorted search space with bounds lesson, then extract the survivor team. New city feature: Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.
269	westminster_co	Westminster	CO	Samantha	Latin Metro	Radio briefing: Westminster, CO is stop 269 on the national route. Secure the Westminster Relay Bridge in the Latin Metro, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 1: numbered pylons emphasize checking 15 before 3 or 5.
270	elgin_il	Elgin	IL	Alex	Great Lakes Industrial	Radio briefing: Elgin, IL is stop 270 on the national route. Secure the Elgin Power Crown in the Great Lakes Industrial, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 2: even-number lanes lead to rescue while odd lanes become decoys.
271	conroe_tx	Conroe	TX	Daniel	Desert Solar Grid	Radio briefing: Conroe, TX is stop 271 on the national route. Secure the Conroe Signal Spire in the Desert Solar Grid, finish the stateful traversal through linked rescue nodes lesson, then extract the survivor team. New city feature: Evacuation chain 3: node markers show current, next, and stop sentinel movement.
272	greeley_co	Greeley	CO	Samantha	Latin Metro	Radio briefing: Greeley, CO is stop 272 on the national route. Secure the Greeley Rescue Arch in the Latin Metro, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 4: paired light posts teach left/right character comparisons.
273	lansing_mi	Lansing	MI	Alex	Great Lakes Industrial	Radio briefing: Lansing, MI is stop 273 on the national route. Secure the Lansing Data Beacon in the Great Lakes Industrial, finish the halving a sorted search space with bounds lesson, then extract the survivor team. New city feature: Sorted-cache vault 1: shrinking light bands show low, mid, and high bounds.
274	buckeye_az	Buckeye	AZ	Samantha	Desert Solar Grid	Radio briefing: Buckeye, AZ is stop 274 on the national route. Secure the Buckeye Command Obelisk in the Desert Solar Grid, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.
275	tuscaloosa_al	Tuscaloosa	AL	Daniel	Metro Core	Radio briefing: Tuscaloosa, AL is stop 275 on the national route. Secure the Tuscaloosa Relay Bridge in the Metro Core, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.
276	allen_tx	Allen	TX	Daniel	Desert Solar Grid	Radio briefing: Allen, TX is stop 276 on the national route. Secure the Allen Power Crown in the Desert Solar Grid, finish the stateful traversal through linked rescue nodes lesson, then extract the survivor team. New city feature: Evacuation chain 4: node markers show current, next, and stop sentinel movement.
277	carlsbad_ca	Carlsbad	CA	Samantha	Coastal Port	Radio briefing: Carlsbad, CA is stop 277 on the national route. Secure the Carlsbad Signal Spire in the Coastal Port, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 1: paired light posts teach left/right character comparisons.
278	everett_wa	Everett	WA	Samantha	Coastal Port	Radio briefing: Everett, WA is stop 278 on the national route. Secure the Everett Rescue Arch in the Coastal Port, finish the halving a sorted search space with bounds lesson, then extract the survivor team. New city feature: Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.
279	springfield_il	Springfield	IL	Alex	Great Lakes Industrial	Radio briefing: Springfield, IL is stop 279 on the national route. Secure the Springfield Data Beacon in the Great Lakes Industrial, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 3: numbered pylons emphasize checking 15 before 3 or 5.
280	beaumont_tx	Beaumont	TX	Daniel	Desert Solar Grid	Radio briefing: Beaumont, TX is stop 280 on the national route. Secure the Beaumont Command Obelisk in the Desert Solar Grid, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 4: even-number lanes lead to rescue while odd lanes become decoys.
281	murrieta_ca	Murrieta	CA	Samantha	Coastal Port	Radio briefing: Murrieta, CA is stop 281 on the national route. Secure the Murrieta Relay Bridge in the Coastal Port, finish the stateful traversal through linked rescue nodes lesson, then extract the survivor team. New city feature: Evacuation chain 1: node markers show current, next, and stop sentinel movement.
282	rio_rancho_nm	Rio Rancho	NM	Samantha	Desert Solar Grid	Radio briefing: Rio Rancho, NM is stop 282 on the national route. Secure the Rio Rancho Power Crown in the Desert Solar Grid, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 2: paired light posts teach left/right character comparisons.
283	temecula_ca	Temecula	CA	Samantha	Coastal Port	Radio briefing: Temecula, CA is stop 283 on the national route. Secure the Temecula Signal Spire in the Coastal Port, finish the halving a sorted search space with bounds lesson, then extract the survivor team. New city feature: Sorted-cache vault 3: shrinking light bands show low, mid, and high bounds.
284	concord_nc	Concord	NC	Daniel	Coastal Port	Radio briefing: Concord, NC is stop 284 on the national route. Secure the Concord Rescue Arch in the Coastal Port, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.
285	tyler_tx	Tyler	TX	Daniel	Desert Solar Grid	Radio briefing: Tyler, TX is stop 285 on the national route. Secure the Tyler Data Beacon in the Desert Solar Grid, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.
286	davie_fl	Davie	FL	Daniel	Coastal Port	Radio briefing: Davie, FL is stop 286 on the national route. Secure the Davie Command Obelisk in the Coastal Port, finish the stateful traversal through linked rescue nodes lesson, then extract the survivor team. New city feature: Evacuation chain 2: node markers show current, next, and stop sentinel movement.
287	south_fulton_ga	South Fulton	GA	Daniel	Coastal Port	Radio briefing: South Fulton, GA is stop 287 on the national route. Secure the South Fulton Relay Bridge in the Coastal Port, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 3: paired light posts teach left/right character comparisons.
288	peoria_il	Peoria	IL	Alex	Great Lakes Industrial	Radio briefing: Peoria, IL is stop 288 on the national route. Secure the Peoria Power Crown in the Great Lakes Industrial, finish the halving a sorted search space with bounds lesson, then extract the survivor team. New city feature: Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.
