rank	slug	city	region	district_style	art_kit	landmark	architecture_signature	novel_gameplay_detail	all_city_layers
254	richardson_tx	Richardson	Southern Evac Line	Southern Evac Line drone beacon yard	Desert Solar Grid	Richardson Rescue Arch	Desert Solar Grid with timed beacon pylons around Richardson Rescue Arch, signature 254	Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
255	goodyear_az	Goodyear	Western Corridor	Western Corridor triage routing depot	Desert Solar Grid	Goodyear Data Beacon	Desert Solar Grid with triage conveyor lanes around Goodyear Data Beacon, signature 255	Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
256	pompano_beach_fl	Pompano Beach	Southern Evac Line	Southern Evac Line evacuation chain depot	Coastal Port	Pompano Beach Command Obelisk	Coastal Port with linked evacuation posts around Pompano Beach Command Obelisk, signature 256	Evacuation chain 4: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
257	nampa_id	Nampa	Western Corridor	Western Corridor mirror-code archive	Monsoon Port	Nampa Relay Bridge	Monsoon Port with mirrored plaza around Nampa Relay Bridge, signature 257	Mirror-code walk 1: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
258	menifee_ca	Menifee	Western Corridor	Western Corridor sorted supply-cache vault	Coastal Port	Menifee Power Crown	Coastal Port with halved search vault around Menifee Power Crown, signature 258	Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
259	las_cruces_nm	Las Cruces	Western Corridor	Western Corridor drone beacon yard	Desert Solar Grid	Las Cruces Signal Spire	Desert Solar Grid with timed beacon pylons around Las Cruces Signal Spire, signature 259	Beacon cycle yard 3: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
260	clearwater_fl	Clearwater	Southern Evac Line	Southern Evac Line triage routing depot	Coastal Port	Clearwater Rescue Arch	Coastal Port with triage conveyor lanes around Clearwater Rescue Arch, signature 260	Triage sorter 4: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
261	west_jordan_ut	West Jordan	Western Corridor	Western Corridor evacuation chain depot	Mountain Relay	West Jordan Data Beacon	Mountain Relay with linked evacuation posts around West Jordan Data Beacon, signature 261	Evacuation chain 1: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
262	new_braunfels_tx	New Braunfels	Southern Evac Line	Southern Evac Line mirror-code archive	Desert Solar Grid	New Braunfels Command Obelisk	Desert Solar Grid with mirrored plaza around New Braunfels Command Obelisk, signature 262	Mirror-code walk 2: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
263	manchester_nh	Manchester	Northeast Relay	Northeast Relay sorted supply-cache vault	Metro Core	Manchester Relay Bridge	Metro Core with halved search vault around Manchester Relay Bridge, signature 263	Sorted-cache vault 3: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
264	miami_gardens_fl	Miami Gardens	Southern Evac Line	Southern Evac Line drone beacon yard	Coastal Port	Miami Gardens Power Crown	Coastal Port with timed beacon pylons around Miami Gardens Power Crown, signature 264	Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
265	waterbury_ct	Waterbury	Northeast Relay	Northeast Relay triage routing depot	Coastal Port	Waterbury Signal Spire	Coastal Port with triage conveyor lanes around Waterbury Signal Spire, signature 265	Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
266	provo_ut	Provo	Western Corridor	Western Corridor evacuation chain depot	Mountain Relay	Provo Rescue Arch	Mountain Relay with linked evacuation posts around Provo Rescue Arch, signature 266	Evacuation chain 2: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
267	evansville_in	Evansville	Midwest Grid	Midwest Grid mirror-code archive	Monsoon Megacity	Evansville Data Beacon	Monsoon Megacity with mirrored plaza around Evansville Data Beacon, signature 267	Mirror-code walk 3: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
268	richmond_ca	Richmond	Western Corridor	Western Corridor sorted supply-cache vault	Coastal Port	Richmond Command Obelisk	Coastal Port with halved search vault around Richmond Command Obelisk, signature 268	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
269	westminster_co	Westminster	Western Corridor	Western Corridor drone beacon yard	Latin Metro	Westminster Relay Bridge	Latin Metro with timed beacon pylons around Westminster Relay Bridge, signature 269	Beacon cycle yard 1: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
270	elgin_il	Elgin	Midwest Grid	Midwest Grid triage routing depot	Great Lakes Industrial	Elgin Power Crown	Great Lakes Industrial with triage conveyor lanes around Elgin Power Crown, signature 270	Triage sorter 2: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
271	conroe_tx	Conroe	Southern Evac Line	Southern Evac Line evacuation chain depot	Desert Solar Grid	Conroe Signal Spire	Desert Solar Grid with linked evacuation posts around Conroe Signal Spire, signature 271	Evacuation chain 3: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
272	greeley_co	Greeley	Western Corridor	Western Corridor mirror-code archive	Latin Metro	Greeley Rescue Arch	Latin Metro with mirrored plaza around Greeley Rescue Arch, signature 272	Mirror-code walk 4: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
273	lansing_mi	Lansing	Midwest Grid	Midwest Grid sorted supply-cache vault	Great Lakes Industrial	Lansing Data Beacon	Great Lakes Industrial with halved search vault around Lansing Data Beacon, signature 273	Sorted-cache vault 1: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
274	buckeye_az	Buckeye	Western Corridor	Western Corridor drone beacon yard	Desert Solar Grid	Buckeye Command Obelisk	Desert Solar Grid with timed beacon pylons around Buckeye Command Obelisk, signature 274	Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
275	tuscaloosa_al	Tuscaloosa	Southern Evac Line	Southern Evac Line triage routing depot	Metro Core	Tuscaloosa Relay Bridge	Metro Core with triage conveyor lanes around Tuscaloosa Relay Bridge, signature 275	Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
276	allen_tx	Allen	Southern Evac Line	Southern Evac Line evacuation chain depot	Desert Solar Grid	Allen Power Crown	Desert Solar Grid with linked evacuation posts around Allen Power Crown, signature 276	Evacuation chain 4: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
277	carlsbad_ca	Carlsbad	Western Corridor	Western Corridor mirror-code archive	Coastal Port	Carlsbad Signal Spire	Coastal Port with mirrored plaza around Carlsbad Signal Spire, signature 277	Mirror-code walk 1: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
278	everett_wa	Everett	Western Corridor	Western Corridor sorted supply-cache vault	Coastal Port	Everett Rescue Arch	Coastal Port with halved search vault around Everett Rescue Arch, signature 278	Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
279	springfield_il	Springfield	Midwest Grid	Midwest Grid drone beacon yard	Great Lakes Industrial	Springfield Data Beacon	Great Lakes Industrial with timed beacon pylons around Springfield Data Beacon, signature 279	Beacon cycle yard 3: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
280	beaumont_tx	Beaumont	Southern Evac Line	Southern Evac Line triage routing depot	Desert Solar Grid	Beaumont Command Obelisk	Desert Solar Grid with triage conveyor lanes around Beaumont Command Obelisk, signature 280	Triage sorter 4: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
281	murrieta_ca	Murrieta	Western Corridor	Western Corridor evacuation chain depot	Coastal Port	Murrieta Relay Bridge	Coastal Port with linked evacuation posts around Murrieta Relay Bridge, signature 281	Evacuation chain 1: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
282	rio_rancho_nm	Rio Rancho	Western Corridor	Western Corridor mirror-code archive	Desert Solar Grid	Rio Rancho Power Crown	Desert Solar Grid with mirrored plaza around Rio Rancho Power Crown, signature 282	Mirror-code walk 2: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
283	temecula_ca	Temecula	Western Corridor	Western Corridor sorted supply-cache vault	Coastal Port	Temecula Signal Spire	Coastal Port with halved search vault around Temecula Signal Spire, signature 283	Sorted-cache vault 3: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
284	concord_nc	Concord	Southern Evac Line	Southern Evac Line drone beacon yard	Coastal Port	Concord Rescue Arch	Coastal Port with timed beacon pylons around Concord Rescue Arch, signature 284	Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
285	tyler_tx	Tyler	Southern Evac Line	Southern Evac Line triage routing depot	Desert Solar Grid	Tyler Data Beacon	Desert Solar Grid with triage conveyor lanes around Tyler Data Beacon, signature 285	Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
286	davie_fl	Davie	Southern Evac Line	Southern Evac Line evacuation chain depot	Coastal Port	Davie Command Obelisk	Coastal Port with linked evacuation posts around Davie Command Obelisk, signature 286	Evacuation chain 2: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
287	south_fulton_ga	South Fulton	Southern Evac Line	Southern Evac Line mirror-code archive	Coastal Port	South Fulton Relay Bridge	Coastal Port with mirrored plaza around South Fulton Relay Bridge, signature 287	Mirror-code walk 3: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
288	peoria_il	Peoria	Midwest Grid	Midwest Grid sorted supply-cache vault	Great Lakes Industrial	Peoria Power Crown	Great Lakes Industrial with halved search vault around Peoria Power Crown, signature 288	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
289	sparks_nv	Sparks	Western Corridor	Western Corridor drone beacon yard	Desert Solar Grid	Sparks Signal Spire	Desert Solar Grid with timed beacon pylons around Sparks Signal Spire, signature 289	Beacon cycle yard 1: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
290	gresham_or	Gresham	Western Corridor	Western Corridor triage routing depot	Coastal Port	Gresham Rescue Arch	Coastal Port with triage conveyor lanes around Gresham Rescue Arch, signature 290	Triage sorter 2: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
291	santa_maria_ca	Santa Maria	Western Corridor	Western Corridor evacuation chain depot	Coastal Port	Santa Maria Data Beacon	Coastal Port with linked evacuation posts around Santa Maria Data Beacon, signature 291	Evacuation chain 3: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
292	pueblo_co	Pueblo	Western Corridor	Western Corridor mirror-code archive	Latin Metro	Pueblo Command Obelisk	Latin Metro with mirrored plaza around Pueblo Command Obelisk, signature 292	Mirror-code walk 4: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
293	hillsboro_or	Hillsboro	Western Corridor	Western Corridor sorted supply-cache vault	Coastal Port	Hillsboro Relay Bridge	Coastal Port with halved search vault around Hillsboro Relay Bridge, signature 293	Sorted-cache vault 1: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
294	sugar_land_tx	Sugar Land	Southern Evac Line	Southern Evac Line drone beacon yard	Desert Solar Grid	Sugar Land Power Crown	Desert Solar Grid with timed beacon pylons around Sugar Land Power Crown, signature 294	Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
295	san_buenaventura_ventura_ca	San Buenaventura (Ventura)	Western Corridor	Western Corridor evacuation chain depot	Coastal Port	San Buenaventura (Ventura) Signal Spire	Coastal Port with linked evacuation posts around San Buenaventura (Ventura) Signal Spire, signature 295	Evacuation chain 3: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
296	downey_ca	Downey	Western Corridor	Western Corridor sorted supply-cache vault	Coastal Port	Downey Rescue Arch	Coastal Port with halved search vault around Downey Rescue Arch, signature 296	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
297	costa_mesa_ca	Costa Mesa	Western Corridor	Western Corridor triage routing depot	Coastal Port	Costa Mesa Data Beacon	Coastal Port with triage conveyor lanes around Costa Mesa Data Beacon, signature 297	Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
298	centennial_co	Centennial	Western Corridor	Western Corridor drone beacon yard	Latin Metro	Centennial Command Obelisk	Latin Metro with timed beacon pylons around Centennial Command Obelisk, signature 298	Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
299	edinburg_tx	Edinburg	Southern Evac Line	Southern Evac Line mirror-code archive	Desert Solar Grid	Edinburg Relay Bridge	Desert Solar Grid with mirrored plaza around Edinburg Relay Bridge, signature 299	Mirror-code walk 3: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
300	spokane_valley_wa	Spokane Valley	Western Corridor	Western Corridor sorted supply-cache vault	Coastal Port	Spokane Valley Power Crown	Coastal Port with halved search vault around Spokane Valley Power Crown, signature 300	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
301	jurupa_valley_ca	Jurupa Valley	Western Corridor	Western Corridor evacuation chain depot	Coastal Port	Jurupa Valley Signal Spire	Coastal Port with linked evacuation posts around Jurupa Valley Signal Spire, signature 301	Evacuation chain 1: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
302	bend_or	Bend	Western Corridor	Western Corridor sorted supply-cache vault	Coastal Port	Bend Rescue Arch	Coastal Port with halved search vault around Bend Rescue Arch, signature 302	Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
303	west_covina_ca	West Covina	Western Corridor	Western Corridor triage routing depot	Coastal Port	West Covina Data Beacon	Coastal Port with triage conveyor lanes around West Covina Data Beacon, signature 303	Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
304	boulder_co	Boulder	Western Corridor	Western Corridor drone beacon yard	Latin Metro	Boulder Command Obelisk	Latin Metro with timed beacon pylons around Boulder Command Obelisk, signature 304	Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
305	palm_coast_fl	Palm Coast	Southern Evac Line	Southern Evac Line mirror-code archive	Coastal Port	Palm Coast Relay Bridge	Coastal Port with mirrored plaza around Palm Coast Relay Bridge, signature 305	Mirror-code walk 1: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
306	lee_s_summit_mo	Lee's Summit	Midwest Grid	Midwest Grid sorted supply-cache vault	River Lockworks	Lee's Summit Power Crown	River Lockworks with halved search vault around Lee's Summit Power Crown, signature 306	Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
307	dearborn_mi	Dearborn	Midwest Grid	Midwest Grid evacuation chain depot	Great Lakes Industrial	Dearborn Signal Spire	Great Lakes Industrial with linked evacuation posts around Dearborn Signal Spire, signature 307	Evacuation chain 3: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
308	green_bay_wi	Green Bay	Midwest Grid	Midwest Grid sorted supply-cache vault	Great Lakes Industrial	Green Bay Rescue Arch	Great Lakes Industrial with halved search vault around Green Bay Rescue Arch, signature 308	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
309	st_george_ut	St. George	Western Corridor	Western Corridor triage routing depot	Mountain Relay	St. George Data Beacon	Mountain Relay with triage conveyor lanes around St. George Data Beacon, signature 309	Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
310	brockton_ma	Brockton	Northeast Relay	Northeast Relay drone beacon yard	African Urban Relay	Brockton Command Obelisk	African Urban Relay with timed beacon pylons around Brockton Command Obelisk, signature 310	Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
311	renton_wa	Renton	Western Corridor	Western Corridor mirror-code archive	Coastal Port	Renton Relay Bridge	Coastal Port with mirrored plaza around Renton Relay Bridge, signature 311	Mirror-code walk 3: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
312	sandy_springs_ga	Sandy Springs	Southern Evac Line	Southern Evac Line sorted supply-cache vault	Coastal Port	Sandy Springs Power Crown	Coastal Port with halved search vault around Sandy Springs Power Crown, signature 312	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
313	rialto_ca	Rialto	Western Corridor	Western Corridor evacuation chain depot	Coastal Port	Rialto Signal Spire	Coastal Port with linked evacuation posts around Rialto Signal Spire, signature 313	Evacuation chain 1: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
314	el_monte_ca	El Monte	Western Corridor	Western Corridor sorted supply-cache vault	Coastal Port	El Monte Rescue Arch	Coastal Port with halved search vault around El Monte Rescue Arch, signature 314	Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
315	vacaville_ca	Vacaville	Western Corridor	Western Corridor triage routing depot	Coastal Port	Vacaville Data Beacon	Coastal Port with triage conveyor lanes around Vacaville Data Beacon, signature 315	Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
316	fishers_in	Fishers	Midwest Grid	Midwest Grid drone beacon yard	Monsoon Megacity	Fishers Command Obelisk	Monsoon Megacity with timed beacon pylons around Fishers Command Obelisk, signature 316	Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
317	south_bend_in	South Bend	Midwest Grid	Midwest Grid mirror-code archive	Monsoon Megacity	South Bend Relay Bridge	Monsoon Megacity with mirrored plaza around South Bend Relay Bridge, signature 317	Mirror-code walk 1: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
318	carmel_in	Carmel	Midwest Grid	Midwest Grid sorted supply-cache vault	Monsoon Megacity	Carmel Power Crown	Monsoon Megacity with halved search vault around Carmel Power Crown, signature 318	Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
